Distance,Speed,Throttle,Brake,Time
914.0,189.1724525043178,78.2586787564767,0.0,4501.037347150259
916.0,189.79421416234888,79.19132124352333,0.0,4501.074652849741
918.0,190.41597582037997,80.12396373056997,0.0,4501.111958549222
920.0,191.03773747841106,81.0566062176166,0.0,4501.149264248705
922.0,191.65949913644215,81.98924870466323,0.0,4501.186569948187
924.0,192.28126079447324,82.92189119170986,0.0,4501.223875647668
926.0,192.90302245250433,83.8545336787565,0.0,4501.26118134715
928.0,193.67381116741942,85.54013981124439,0.0,4501.297802796225
930.0,194.46017512637493,87.33754314599985,0.0,4501.33375086292
932.0,195.24653908533045,89.1349464807553,0.0,4501.369698929615
934.0,196.03290304428597,90.93234981551076,0.0,4501.405646996311
936.0,196.81926700324146,92.72975315026622,0.0,4501.4415950630055
938.0,197.60563096219698,94.52715648502168,0.0,4501.477543129701
940.0,198.3919949211525,96.32455981977714,0.0,4501.513491196396
942.0,199.178358880108,98.12196315453258,0.0,4501.549439263091
944.0,199.9647228390635,99.91936648928804,0.0,4501.5853873297865
946.0,200.4242005726514,100.0,0.0,4501.620936045812
948.0,200.8683250634308,100.0,0.0,4501.656466005074
950.0,201.30951456262324,100.0,0.0,4501.69176116501
952.0,201.7486723783861,100.0,0.0,4501.726893790271
954.0,202.18783019414892,100.0,0.0,4501.762026415532
956.0,202.62698800991177,100.0,0.0,4501.797159040793
958.0,203.0661458256746,100.0,0.0,4501.832291666054
960.0,203.50530364143745,100.0,0.0,4501.867424291315
962.0,203.9444614572003,100.0,0.0,4501.902556916576
964.0,204.38206452635916,100.0,0.0,4501.9375651621085
966.0,204.81305701015398,100.0,0.0,4501.972044560813
968.0,205.8424657290891,100.0,0.0,4502.006256359522
970.0,207.33026392615605,100.0,0.0,4502.040263175455
972.0,208.818062123223,100.0,0.0,4502.074269991388
974.0,210.30586032028992,100.0,0.0,4502.108276807321
976.0,211.7872665428106,100.0,0.0,4502.142137520978
978.0,212.7030420946484,100.0,0.0,4502.175121683786
980.0,213.52517999971067,100.0,0.0,4502.208007199988
982.0,214.34731790477298,100.0,0.0,4502.2408927161905
984.0,215.16945580983526,100.0,0.0,4502.273778232394
986.0,215.99159371489756,100.0,0.0,4502.306663748596
988.0,216.81373161995984,100.0,0.0,4502.339549264799
